"method","scalar","status","rank_rhat","folded_rhat","bulk_ess","tail_ess"
"PottsMoDE","proportion_4","uninformative-constant-discrete",NA,NA,NA,NA
"PottsMoDE","proportion_5","uninformative-constant-discrete",NA,NA,NA,NA
"PottsMoDE","proportion_6","failed-different-chain-constants",NA,NA,NA,NA
"PottsMoDE","proportion_7","uninformative-constant-discrete",NA,NA,NA,NA
"PottsMoDE","proportion_8","failed-different-chain-constants",NA,NA,NA,NA
"PottsMoDE","proportion_9","failed-different-chain-constants",NA,NA,NA,NA
"PottsMoDE","proportion_10","failed-different-chain-constants",NA,NA,NA,NA
"PottsMoDE","unit_log_mean_1_t1","passed",0.999772907119068,1.00224890292561,624.416668848814,640.34702054066
"PottsMoDE","unit_log_mean_31_t1","failed",1.01276304972062,1.01311728828511,630.743706768116,685.260131661374
"PottsMoDE","unit_log_mean_61_t1","passed",1.00594906455419,1.00005216853375,657.391119151337,745.78661913754
"PottsMoDE","unit_log_mean_91_t1","failed",1.03937320237935,1.00286790423987,146.84721511551,611.814039519078
"PottsMoDE","unit_log_mean_121_t1","passed",1.00022450303653,1.00267038412638,543.486083643912,673.891677688331
"PottsMoDE","unit_log_mean_1_t84","passed",0.999374853075578,1.00428982970947,503.408958244701,697.841370917345
"PottsMoDE","unit_log_mean_31_t84","failed",1.03049762765687,1.01237899892785,338.915282604497,455.803907389128
"PottsMoDE","unit_log_mean_61_t84","passed",1.00003307370392,1.00025510032964,520.901567577043,457.203038760822
"PottsMoDE","unit_log_mean_91_t84","failed",1.04720071997357,0.997578643633581,143.983827903214,597.852389004593
"PottsMoDE","unit_log_mean_121_t84","passed",1.00606125881593,0.998924236222716,557.675212054632,531.511686593306
"PottsMoDE","unit_log_mean_1_t168","passed",1.00661363506882,0.997393344462574,547.686652204114,662.988298743494
"PottsMoDE","unit_log_mean_31_t168","failed",1.01566329650551,1.00870576038566,480.79223560768,776.929312564844
"PottsMoDE","unit_log_mean_61_t168","passed",1.00710142426281,0.997935909146936,542.940578442614,742.886117098748
"PottsMoDE","unit_log_mean_91_t168","failed",1.0213095718608,1.00363966769485,611.054533928572,676.361060132686
"PottsMoDE","unit_log_mean_121_t168","failed",1.00418403028246,1.00446866900245,354.963551871428,774.592030917706
"graphMoDE-W-reference","log_likelihood","failed",1.33591352935177,1.32783976885459,9.76048195208485,21.841855996011
"graphMoDE-W-reference","Kocc","failed",1.83547011481504,1.83547011481503,5.98503100892951,NA
"graphMoDE-W-reference","proportion_1","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-reference","proportion_2","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-reference","proportion_3","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-reference","proportion_4","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-reference","proportion_5","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-reference","proportion_6","failed",1.8449086977477,1.8449086977477,5.95699400041312,NA
"graphMoDE-W-reference","proportion_7","failed",1.50181270928511,1.50181270928511,7.91681146025525,NA
"graphMoDE-W-reference","proportion_8","failed",2.3678144440245,2.3678144440245,5.04941635254825,NA
"graphMoDE-W-reference","proportion_9","uninformative-constant-discrete",NA,NA,NA,NA
"graphMoDE-W-reference","proportion_10","failed",2.38381571789074,2.38381571789074,5.03295642773739,NA
"graphMoDE-W-reference","guidance_1","passed",1.00709158330155,1.00078588334192,498.479220112977,767.881841926913
"graphMoDE-W-reference","guidance_2","passed",1.00817364211665,0.999740659776915,578.865624030968,1002.55299835133
"graphMoDE-W-reference","guidance_3","passed",1.00840623498996,0.99850612663907,646.96911469298,963.659249701232
