"edge_id","from_location_id","to_location_id","from_road_vertex_id","to_road_vertex_id","road_distance_km","weight"
100,22,46,"2048161749","529689716",2.74838967271184,0.49405587459159
101,42,46,"2891549445","529689716",0.670575239199572,0.841947299316659
102,44,46,"9507058568","529689716",4.60557635943641,0.153397910147075
103,45,46,"1419861925","529689716",4.10806204069299,0.174281861732825
104,25,47,"10614006595","754515487",3.52677570206317,0.404621319627833
105,28,47,"9015750644","754515487",2.55128398950853,0.519681749061985
106,42,47,"2891549445","754515487",3.85363377303637,0.186037474765892
107,46,47,"529689716","754515487",3.23975791327184,0.435540065793838
108,28,48,"9015750644","9007658046",4.30428401091414,0.16572546874912
109,42,48,"2891549445","9007658046",3.43199615246635,0.414580664059212
110,45,48,"1419861925","9007658046",4.3510287015305,0.163749880085462
111,46,48,"529689716","9007658046",2.81292147804384,0.485943718383106
112,47,48,"754515487","9007658046",2.7692484655683,0.491419056135164
113,28,49,"9015750644","1622356607",4.23898929253677,0.168525007259964
114,29,49,"1583217872","1622356607",2.88161286623507,0.477454970820153
115,30,49,"2515879233","1622356607",3.37634712605042,0.210271023376422
116,31,49,"322444657","1622356607",1.60325327855617,0.66277555078627
117,29,50,"1583217872","322120245",3.45240945540794,0.206207572249861
118,31,50,"322444657","322120245",2.39049649821776,0.541567147012277
119,49,50,"1622356607","322120245",1.58229718041289,0.666348455169052
120,50,51,"322120245","5077446356",4.25473714641693,0.167845513883068
121,31,52,"322444657","733860100",2.91367647124471,0.236771767315938
122,49,52,"1622356607","733860100",2.6670000134846,0.504480582396756
123,50,52,"322120245","733860100",1.92072264690345,0.610933911257051
124,51,52,"5077446356","733860100",4.42905177656496,0.160504682295509
125,50,53,"322120245","1300406476",3.5448037160416,0.201377106307858
126,52,53,"733860100","1300406476",2.45965686766978,0.532042718667224
127,50,55,"322120245","6137240779",3.90690498654161,0.183512220041244
128,52,55,"733860100","6137240779",3.44312950148654,0.206699095453717
129,53,55,"1300406476","6137240779",1.89128557885027,0.615565246899563
130,50,56,"322120245","72846241",2.94247533004452,0.470057687707121
131,52,56,"733860100","72846241",2.88584257045054,0.47693714546361
132,53,56,"1300406476","72846241",2.25215931414283,0.561132931608154
133,55,56,"6137240779","72846241",2.46930408970686,0.530727530311669
134,57,58,"12248263838","12438176403",3.41480225980831,0.41641347632453
135,40,59,"8066838103","245154210",4.39751705331766,0.161808483009404
136,57,59,"12248263838","245154210",4.60967518935097,0.153236686951346
137,57,60,"12248263838","3017431195",3.58265798363095,0.398861751291656
138,59,60,"245154210","3017431195",3.10329919378374,0.451057866371776
139,41,63,"10931643405","5718343692",4.48896828458737,0.158056312260277
140,43,63,"6489737406","5718343692",4.48842566334782,0.316156633912593
141,61,63,"10032701331","5718343692",4.28518470576885,0.166539512570593
142,62,63,"537974211","5718343692",0.875990290246366,0.798725750649964
143,41,64,"10931643405","978266051",3.1843015758543,0.441780990234731
144,43,64,"6489737406","978266051",3.18375895461476,0.441842495253154
145,61,64,"10032701331","978266051",3.26733931850108,0.216234513277401
146,62,64,"537974211","978266051",2.79622016449914,0.488030340802068
147,63,64,"5718343692","978266051",2.69505908463721,0.50086205362414
148,45,65,"1419861925","13332496803",4.59725603082533,0.153725703420562
149,61,65,"10032701331","13332496803",2.83464981341819,0.483242379800353
150,45,66,"1419861925","13333159911",4.665263701959,0.151066829627465
