"trend","weekday1","weekday2","weekday3","weekday4","weekday5","weekday6","daily_cos1","daily_sin1","daily_cos2","daily_sin2","daily_cos3","daily_sin3"
-0.0174050632911392,0,0,0,0,0,1,-0.707106781186548,-0.707106781186547,1.19434011948696e-15,1,0.707106781186548,-0.707106781186547
-0.0163502109704641,0,0,0,0,0,1,-1.83697019872103e-16,-1,-1,3.67394039744206e-16,5.51091059616309e-16,1
-0.015295358649789,0,0,0,0,0,1,0.707106781186547,-0.707106781186548,-4.28626379701574e-16,-1,-0.707106781186547,-0.707106781186548
-0.0142405063291139,0,0,0,0,0,0,1,0,1,0,1,0
-0.0131856540084388,0,0,0,0,0,0,0.707106781186548,0.707106781186547,6.12323399573677e-17,1,-0.707106781186547,0.707106781186548
-0.0121308016877637,0,0,0,0,0,0,6.12323399573677e-17,1,-1,1.22464679914735e-16,-1.83697019872103e-16,-1
-0.0110759493670886,0,0,0,0,0,0,-0.707106781186547,0.707106781186548,-1.83697019872103e-16,-1,0.707106781186548,0.707106781186547
-0.0100210970464135,0,0,0,0,0,0,-1,1.22464679914735e-16,1,-2.44929359829471e-16,-1,3.67394039744206e-16
-0.0089662447257384,0,0,0,0,0,0,-0.707106781186548,-0.707106781186547,1.19434011948696e-15,1,0.707106781186548,-0.707106781186547
-0.00791139240506329,0,0,0,0,0,0,-1.83697019872103e-16,-1,-1,3.67394039744206e-16,5.51091059616309e-16,1
-0.00685654008438819,0,0,0,0,0,0,0.707106781186547,-0.707106781186548,-4.28626379701574e-16,-1,-0.707106781186547,-0.707106781186548
-0.00580168776371308,1,0,0,0,0,0,1,0,1,0,1,0
-0.00474683544303797,1,0,0,0,0,0,0.707106781186548,0.707106781186547,6.12323399573677e-17,1,-0.707106781186547,0.707106781186548
-0.00369198312236287,1,0,0,0,0,0,6.12323399573677e-17,1,-1,1.22464679914735e-16,-1.83697019872103e-16,-1
-0.00263713080168776,1,0,0,0,0,0,-0.707106781186547,0.707106781186548,-1.83697019872103e-16,-1,0.707106781186548,0.707106781186547
-0.00158227848101266,1,0,0,0,0,0,-1,1.22464679914735e-16,1,-2.44929359829471e-16,-1,3.67394039744206e-16
-0.000527426160337553,1,0,0,0,0,0,-0.707106781186548,-0.707106781186547,1.19434011948696e-15,1,0.707106781186548,-0.707106781186547
0.000527426160337553,1,0,0,0,0,0,-1.83697019872103e-16,-1,-1,3.67394039744206e-16,5.51091059616309e-16,1
0.00158227848101266,1,0,0,0,0,0,0.707106781186547,-0.707106781186548,-4.28626379701574e-16,-1,-0.707106781186547,-0.707106781186548
0.00263713080168776,0,1,0,0,0,0,1,0,1,0,1,0
0.00369198312236287,0,1,0,0,0,0,0.707106781186548,0.707106781186547,6.12323399573677e-17,1,-0.707106781186547,0.707106781186548
0.00474683544303797,0,1,0,0,0,0,6.12323399573677e-17,1,-1,1.22464679914735e-16,-1.83697019872103e-16,-1
0.00580168776371308,0,1,0,0,0,0,-0.707106781186547,0.707106781186548,-1.83697019872103e-16,-1,0.707106781186548,0.707106781186547
0.00685654008438819,0,1,0,0,0,0,-1,1.22464679914735e-16,1,-2.44929359829471e-16,-1,3.67394039744206e-16
0.00791139240506329,0,1,0,0,0,0,-0.707106781186548,-0.707106781186547,1.19434011948696e-15,1,0.707106781186548,-0.707106781186547
0.0089662447257384,0,1,0,0,0,0,-1.83697019872103e-16,-1,-1,3.67394039744206e-16,5.51091059616309e-16,1
0.0100210970464135,0,1,0,0,0,0,0.707106781186547,-0.707106781186548,-4.28626379701574e-16,-1,-0.707106781186547,-0.707106781186548
0.0110759493670886,0,0,1,0,0,0,1,0,1,0,1,0
0.0121308016877637,0,0,1,0,0,0,0.707106781186548,0.707106781186547,6.12323399573677e-17,1,-0.707106781186547,0.707106781186548
0.0131856540084388,0,0,1,0,0,0,6.12323399573677e-17,1,-1,1.22464679914735e-16,-1.83697019872103e-16,-1
0.0142405063291139,0,0,1,0,0,0,-0.707106781186547,0.707106781186548,-1.83697019872103e-16,-1,0.707106781186548,0.707106781186547
0.015295358649789,0,0,1,0,0,0,-1,1.22464679914735e-16,1,-2.44929359829471e-16,-1,3.67394039744206e-16
0.0163502109704641,0,0,1,0,0,0,-0.707106781186548,-0.707106781186547,1.19434011948696e-15,1,0.707106781186548,-0.707106781186547
0.0174050632911392,0,0,1,0,0,0,-1.83697019872103e-16,-1,-1,3.67394039744206e-16,5.51091059616309e-16,1
0.0184599156118143,0,0,1,0,0,0,0.707106781186547,-0.707106781186548,-4.28626379701574e-16,-1,-0.707106781186547,-0.707106781186548
0.0195147679324895,0,0,0,1,0,0,1,0,1,0,1,0
0.0205696202531646,0,0,0,1,0,0,0.707106781186548,0.707106781186547,6.12323399573677e-17,1,-0.707106781186547,0.707106781186548
0.0216244725738397,0,0,0,1,0,0,6.12323399573677e-17,1,-1,1.22464679914735e-16,-1.83697019872103e-16,-1
0.0226793248945148,0,0,0,1,0,0,-0.707106781186547,0.707106781186548,-1.83697019872103e-16,-1,0.707106781186548,0.707106781186547
0.0237341772151899,0,0,0,1,0,0,-1,1.22464679914735e-16,1,-2.44929359829471e-16,-1,3.67394039744206e-16
0.024789029535865,0,0,0,1,0,0,-0.707106781186548,-0.707106781186547,1.19434011948696e-15,1,0.707106781186548,-0.707106781186547
