station,month,metadata_matched,records,samples_sum,total_flow_count,total_flow_mean,total_flow_weighted_by_samples,average_speed_count,average_speed_mean,average_speed_weighted_by_samples
1108769,09,yes,720,390961,720,3488.7444444444445,3438.435127800471,720,68.13777777777776,68.20514578180435
1108769,10,yes,744,420415,744,3578.07123655914,3611.0118121380065,744,68.08454301075271,68.04430003686834
1108769,11,yes,720,430870,720,3338.0194444444446,3334.936057279458,720,67.95513888888885,67.95957411748321
1108769,12,yes,744,443536,744,3240.260752688172,3234.290959471159,744,68.14274193548387,68.1685856390462
1108770,01,yes,744,88606,744,238.2715053763441,237.42816513554388,0,,
1108770,02,yes,696,83161,696,244.6566091954023,244.5060064212792,0,,
1108770,03,yes,743,88853,743,194.92597577388963,195.07452759051466,0,,
1108770,04,yes,720,85320,717,149.36959553695957,149.80868495077357,0,,
1108770,05,yes,744,84652,744,188.3709677419355,187.56386145631527,0,,
1108770,06,yes,720,84729,711,217.20815752461323,217.28043527009643,0,,
1108770,07,yes,744,87185,742,215.10512129380055,215.61111429718414,0,,
1108770,08,yes,744,88402,741,219.69500674763833,220.19683943802175,0,,
1108770,09,yes,720,85306,719,203.64116828929068,204.79630975546854,0,,
1108770,10,yes,744,87692,744,221.6034946236559,222.90379966245496,0,,
1108770,11,yes,720,86202,720,218.87777777777777,218.6597758752697,0,,
1108770,12,yes,744,88738,744,214.95833333333334,214.48381753025762,0,,
1108771,01,yes,744,442732,744,3867.282258064516,3856.018749491792,744,63.88884408602151,63.93338407885584
1108771,02,yes,696,415577,696,3966.2025862068967,3965.8214843458613,696,64.25301724137928,64.25681498254232
1108771,03,yes,743,443986,743,3026.6433378196502,3029.0902393318706,743,65.3444145356662,65.34307072745537
1108771,04,yes,720,426313,720,2175.15,2179.5887599017624,720,67.11138888888894,67.10041729902682
1108771,05,yes,744,422986,744,2749.6827956989246,2739.7453627306813,744,67.19502688172041,67.23573002416157
1108771,06,yes,720,423343,720,3270.9597222222224,3302.1943459558797,720,66.44666666666663,66.38908709958594
1108771,07,yes,744,435072,744,3280.9744623655915,3290.2714355325097,744,66.15712365591396,66.14111733230362
1108771,08,yes,744,441733,744,3421.1209677419356,3424.4276882189015,744,66.72016129032261,66.70126524393696
1108771,09,yes,720,390804,720,3486.3319444444446,3437.648949345452,720,66.01388888888893,66.06375651221586
1108771,10,yes,744,420322,744,3574.90188172043,3607.2167647660604,744,65.78696236559139,65.73035862981237
1108771,11,yes,720,430739,720,3327.051388888889,3324.4756407012137,720,65.20222222222228,65.20377165754671
1108771,12,yes,744,443460,744,3227.6639784946237,3222.264459026744,744,66.0040322580645,66.04353335137331
1108772,01,yes,744,88605,744,117.65456989247312,117.31541109418204,0,,
1108772,02,yes,696,83160,696,118.27155172413794,118.28670033670033,0,,
1108772,03,yes,743,88847,743,92.5235531628533,92.59325582180603,0,,
1108772,04,yes,720,85320,717,67.70990237099024,67.90772386310361,0,,
1108772,05,yes,744,84660,744,86.10483870967742,85.88090007087172,0,,
1108772,06,yes,720,84727,711,103.73136427566807,103.80487920025493,0,,
1108772,07,yes,744,87083,742,97.40566037735849,97.56730934855253,0,,
1108772,08,yes,744,88398,741,104.58434547908232,104.84337880947533,0,,
1108772,09,yes,720,78216,625,107.9952,108.21248272252714,0,,
1108772,10,yes,744,84106,696,108.6264367816092,109.32338120279653,0,,
1108772,11,yes,720,86202,720,99.41111111111111,99.36977100299298,0,,
1108772,12,yes,744,88738,744,99.89247311827957,99.73911965561541,0,,
1108773,01,yes,744,531401,744,3888.555107526882,3877.4026921289196,744,63.06787634408595,63.11095857930263
1108773,02,yes,696,498704,696,3988.5344827586205,3988.0632278866824,696,62.79109195402301,62.81140576373964
1108773,03,yes,743,532846,743,3048.1911170928665,3050.592174849769,743,64.95760430686413,64.95645233331956
1108773,04,yes,720,511660,720,2195.7013888888887,2200.1017922057617,720,67.46944444444448,67.46489700191538
1108773,05,yes,744,507775,744,2786.1317204301076,2776.6240598690365,744,67.34341397849464,67.38064280439161
1108773,06,yes,720,508188,720,3311.179166666667,3342.61689965131,720,66.36777777777777,66.31661137216935
1108773,07,yes,744,522782,744,3362.07123655914,3372.8103932423073,744,66.32083333333338,66.30360207505232
1108773,08,yes,744,529873,744,3470.587365591398,3473.6972217871075,744,66.45174731182804,66.43402702156934
1108773,09,yes,720,469094,720,3537.2680555555557,3489.847804491211,720,65.87222222222225,65.92225865178409
1108773,10,yes,744,504470,744,3627.1922043010754,3660.3875988661366,744,65.54475806451613,65.50082700656132
1108773,11,yes,720,516969,720,3373.6111111111113,3370.7157198980985,720,65.02722222222222,65.02790476798414
1108773,12,yes,744,532190,744,3258.8736559139784,3253.9307578120597,744,65.90793010752687,65.94729213250908
1108774,01,yes,744,177212,744,539.0793010752689,537.6375301898291,0,,
1108774,02,yes,696,166322,696,551.3548850574713,551.440855689566,0,,
1108774,03,yes,743,177706,743,439.43741588156126,439.709373909716,0,,
1108774,04,yes,720,170640,717,348.6192468619247,349.5915846225973,0,,
1108774,05,yes,744,169326,744,433.0309139784946,432.43525507010145,0,,
1108774,06,yes,720,169458,711,506.42756680731367,506.46269872180716,0,,
1108774,07,yes,744,174332,742,503.22911051212935,504.3026294656173,0,,
1108774,08,yes,744,176704,741,505.8272604588394,506.94932768924303,0,,
1108774,09,yes,720,163525,719,453.58970792767735,468.3640299648372,0,,
1108774,10,yes,744,171796,744,498.6801075268817,509.0043307178281,0,,
1108774,11,yes,720,172404,720,486.4194444444444,485.9348623001786,0,,
1108774,12,yes,744,177476,744,488.0483870967742,487.02091550406817,0,,
1111509,01,yes,744,0,744,2516.82123655914,,744,59.4762096774194,
